"Rank","Name","Symbol","marketcap","price (USD)","country"
"122","Playstudios","MYPS","137226640","1.09","United States"
"123","Wayi International Digital Entertainment","3086.TWO","131503620","5.06321","Taiwan"
"124","11 bit studios","11B.WA","121113135","50.1047","Poland"
"125","The9","NCTY","120936648","8.6","China"
"126","Enad Global 7","EG7.ST","115552978","1.30416","Sweden"
"127","Skillz","SKLZ","106731664","6.7","United States"
"128","Bragg Gaming Group","BRAG","100773360","4.02","Canada"
"129","Chinese Gamer International","3083.TWO","99904191","1.15515","Taiwan"
"130","Nacon","NACON.PA","99429751","0.850052","France"
"131","Drecom","3793.T","93415134","3.25033","Japan"
"132","Creepy Jar","CRJ.WA","93215556","133.286","Poland"
"133","Aiming Inc","3911.T","90781889","1.94476","Japan"
"134","G5 Entertainment","G5EN.ST","86768605","10.8853","Sweden"
"135","Feiyu Technology International Company","1022.HK","84697057","0.0484138","China"
"136","Nihon Falcom","3723.T","81713631","7.94903","Japan"
"137","Gamesparcs","6542.TWO","77176433","1.83751","Taiwan"
"138","ATARI","ALATA.PA","75970764","0.165836","France"
"139","MacroWell OMG Digital Entertainment","3687.TWO","73680917","2.45113","Taiwan"
"140","coly","4175.T","70346536","12.7837","Japan"
"141","Imagineer","4644.T","65431034","6.79305","Japan"
"142","FingerTango","6860.HK","58160968","0.0303223","China"
"143","Trophy Games","TGAMES.CO","55926113","2.08303","Denmark"
"144","People Can Fly","PCF.WA","51520652","1.43351","Poland"
"145","PlaySide Studios","PLY.AX","50485889","0.122977","Australia"
"146","Artifex Mundi","ART.WA","49861763","4.19443","Poland"
"147","Fun Yours Technology","6482.TWO","49285369","2.06552","Taiwan"
"148","Kayak Inc","3904.T","48195591","2.99194","Japan"
"149","Asphere Innovations","AS.BK","48037088","0.0962191","Thailand"
"150","Mobile Factory","3912.T","46427436","6.48026","Japan"
"151","Aeria","3758.T","44765200","2.14875","Japan"
"152","Gala Incorporated","4777.T","44592258","1.59117","Japan"
"153","CROOZ","2138.T","44565479","4.6579","Japan"
"154","Fire Rock","1909.HK","43297235","0.225506","China"
"155","CAVE Interactive","3760.T","42712280","6.44626","Japan"
"156","KLab","3656.T","42423265","0.849982","Japan"
"157","Snail Inc","SNAL","40562936","1.09","China"
"158","CyberStep","3810.T","40216114","2.30515","Japan"
"159","Netgem","ALNTG.PA","37722557","1.1133","France"
"160","Edia","3935.T","37292921","6.24906","Japan"
"161","geechs","7060.T","36527860","3.53592","Japan"
"162","Tose Software","4728.T","34892601","4.6035","Japan"
"163","MAG Interactive","MAGI.ST","34745546","1.31141","Sweden"
"164","tinyBuild","8Z3.F","33065057","0.0834976","United States"
"165","Starbreeze","STAR-B.ST","32714579","0.019863","Sweden"
"166","TENDA","4198.T","31822833","4.8279","Japan"
"167","PopReach","INIK.V","30871969","0.0870884","Canada"
"168","Nippon Ichi Software","3851.T","29660461","5.86147","Japan"
"169","Infinities Tech (Jiu Zun Digital)","1961.HK","28533802","0.0388585","China"
"170","East Side Games","EAGR.TO","28107632","0.344725","Canada"
"171","Astro Corporation","3064.TWO","26221075","2.01522","Taiwan"
"172","BigBen Interactive","BIG.PA","26171148","1.36843","France"
"173","Ourgame International","6899.HK","26090201","0.0242069","China"
"174","Linekong Interactive","8267.HK","25784973","0.0700726","China"
"175","Forever Entertainment","8FE.SG","25750920","0.844254","Poland"
"176","BoomBit","BBT.WA","24636074","1.80616","Poland"
"177","Yuke's","4334.T","23298593","2.76754","Japan"
"178","Sino-Entertainment Technology","6933.HK","22990769","0.0554211","China"
"179","enish","3667.T","22103364","0.761584","Japan"
"180","Mobcast","3664.T","22023235","0.421591","Japan"
"181","Games Operators","GOP.WA","21989261","3.99859","Poland"
"182","Gaming Corps","GCOR.ST","21335160","0.146692","Sweden"
"183","WonderPlanet","4199.T","20942819","8.21422","Japan"
"184","NJ Holdings","9421.T","20910461","3.95071","Japan"
"185","5th Planet Games","5PG.OL","20528622","0.0764912","Denmark"
"186","Appirits","4174.T","20085129","5.00469","Japan"
"187","All in! Games","ALG.WA","18636718","0.246443","Poland"
"188","Silicon Studio","3907.T","17134894","6.24227","Japan"
"189","Ultimate Games","ULG.WA","16360199","3.12815","Poland"
"190","Big Cheese Studio","BCS.WA","16174224","3.91154","Poland"
"191","InterServ International","6169.TWO","16159911","0.690742","Taiwan"
"192","Forgame","0484.HK","15889222","0.110842","China"
"193","GigaMedia","GIGM","15804645","1.43","Taiwan"
"194","Mighty Kingdom","MKL.AX","15665709","0.106796","Australia"
"195","Motorsport Gaming","MSGM","15184566","2.99","United States"
"196","LL Lucky Games","LADYLU.ST","14798847","0.0516272","Sweden"
"197","Mynet","3928.T","14483652","1.71356","Japan"
"198","Don't Nod Entertainment","ALDNE.PA","13867399","1.0414","France"
"199","Axel Mark","3624.T","13860077","0.829582","Japan"
"200","iCandy Interactive","ICI.AX","13259910","0.010356","Australia"
"201","Voltage","3639.T","12533080","1.95156","Japan"
"202","Blue Hat","BHAT","12531999","1.73","China"
"203","Digital Hollywood Interactive","2022.HK","12485667","0.00624283","China"
"204","AltPlus","3672.T","11501104","0.530389","Japan"
"205","Gaming Factory","GIF.WA","11307964","1.86057","Poland"
"206","Versus Systems","VS","10832713","2.21","Canada"
"207","Netmarble Joybomb","6468.TWO","10795915","0.94","Taiwan"
"208","Fragbite Group","FRAG.ST","8717107","1.09371","Sweden"
"209","Vivid Games","VVD.WA","8580457","0.154503","Poland"
"210","Solid Clouds","SOLID.IC","7499253","0.0104586","Iceland"
"211","ManyDev Studio","MAN.WA","5399015","0.188777","Poland"
"212","Playgon Games","DEAL.V","4422524","0.0108861","Canada"
"213","PunkPirates","PUN.WA","3942991","0.13","Poland"
"214","Super League Enterprise","SLE","3671501","4.15","United States"
