"83","Team17","TM17.L","403505715","2.80304","United Kingdom"
"120","Gaming Realms","GMR.L","126436685","0.428852","United Kingdom"
"124","Frontier Developments","FDEV.L","117222249","3.03555","United Kingdom"
"210","Mighty Kingdom","MKL.AX","6452938","0.029866","Australia"
